Jurisdiction,Country,Density,,
Yerevan,Armenia,927.8,,
Aragatsotn,Armenia,45.3,,
Ararat,Armenia,124.1,,
Armavir,Armenia,216.6,,
Gegharkunik,Armenia,42.7,,
Lori,Armenia,55.7,,
Kotayk,Armenia,112.3,,
Shirak,Armenia,86,,
Syunik,Armenia,29.9,,
Vayots dzor,Armenia,20.6,,
Tavush,Armenia,44.3,,
Baku City,Azerbaijan,1092,,
Absheron-Khizi,Azerbaijan,234,,
Guba-Khachmaz,Azerbaijan,78,,
Shaki-Zagatala,Azerbaijan,71,,
Central Aran Region,Azerbaijan,107,,
Ganja-Dashkasan,Azerbaijan,113,,
Gazakh-Tovuz,Azerbaijan,96,,
Eastern Zangazur,Azerbaijan,40,,
Karabakh,Azerbaijan,82,,
Nakhchivan Autonomous Republic,Azerbaijan,85,,
Mil-Mughan,Azerbaijan,92,,
Shirvan-Salyan,Azerbaijan,81,,
Lankaran-Astara,Azerbaijan,153,,
Nagorno Karabakh Shirvan ,Azerbaijan,52,,
Tbilisi,Georgia,"2,462.50",,
Adjara Autonomous Republic,Georgia,124.6,,
Guria,Georgia,51.3,,
Imereti,Georgia,72.2,,
Kakheti,Georgia,26.9,,
Mtskheta-Mtianeti,Georgia,16.6,,
Racha-Lechkhumi and Kvemo Svaneti,Georgia,5.9,,
Samegrelo-Zemo Svaneti,Georgia,40.1,,
Samtskhe-Javakheti,Georgia,23,,
Kvemo Kartli,Georgia,68.8,,
Shida Kartli,Georgia,72.9,,
Abkhazia Autonomous Republic,Georgia,28.2,,
East Azarbayejan,Iran,86,,
West Azarbayejan,Iran,87,,
Ardebil,Iran,71,,
Dagestan,Russia ,63.3,,
Chechnya,Russia ,96.56,,
Ingushetia,Russia ,140.45,,
North Ossetia–Alania Republic,Russia ,86.38,,
Ardahan,Turkey,19,,
Kars,Turkey,27,,
Igdir,Turkey,57,,
Agri,Turkey,45,,
Van,Turkey,58,,
Bitlis,Turkey,50,,
Mus,Turkey,50,,
Erzurum,Turkey,30,,
Artvin,Turkey,23,,
