Jurisdiction,Country,Population,
Yerevan,Armenia,1098.9,
Aragatsotn,Armenia,125.7,
Ararat,Armenia,259.3,
Armavir,Armenia,266.6,
Gegharkunik,Armenia,228.7,
Lori,Armenia,211.5,
Kotayk,Armenia,253.8,
Shirak,Armenia,230.5,
Syunik,Armenia,134.6,
Vayots dzor,Armenia,47.7,
Tavush,Armenia,119.8,
Baku City,Azerbaijan,2336.6,
Absheron-Khizi,Azerbaijan,874.1,
Guba-Khachmaz,Azerbaijan,543.8,
Shaki-Zagatala,Azerbaijan,623.6,
Central Aran Region,Azerbaijan,716.2,
Ganja-Dashkasan,Azerbaijan,596,
Gazakh-Tovuz,Azerbaijan,674.4,
Eastern Zangazur,Azerbaijan,304,
Karabakh,Azerbaijan,736.4,
Nakhchivan Autonomous Republic,Azerbaijan,456.7,
Mil-Mughan,Azerbaijan,520.2,
Shirvan-Salyan,Azerbaijan,491,
Lankaran-Astara,Azerbaijan,930.6,
Nagorno Karabakh Shirvan ,Azerbaijan,317.8,
Tbilisi,Georgia,"1,241.70",
Adjara Autonomous Republic,Georgia,361.4,
Guria,Georgia,104.3,
Imereti,Georgia,463.1,
Kakheti,Georgia,306.2,
Mtskheta-Mtianeti,Georgia,93.3,
Racha-Lechkhumi and Kvemo Svaneti,Georgia,27.1,
Samegrelo-Zemo Svaneti,Georgia,299.3,
Samtskhe-Javakheti,Georgia,147.4,
Kvemo Kartli,Georgia,442.8,
Shida Kartli,Georgia,249.8,
Abkhazia Autonomous Republic,Georgia,245,
East Azarbayejan,Iran,"3,910",
West Azarbayejan,Iran,"3,265",
Ardebil,Iran,127,
Dagestan,Russia ,3153.8,
Chechnya,Russia ,1516.4,
Ingushetia,Russia ,524.1,
North Ossetia–Alania Republic,Russia ,688.1,
Ardahan,Turkey,92.481,
Kars,Turkey,274.829,
Igdir,Turkey,203.594,
Agri,Turkey,510.626,
Van,Turkey,1128.749,
Bitlis,Turkey,353.988,
Mus,Turkey,399.202,
Erzurum,Turkey,749.754,
Artvin,Turkey,169.403,
