Jurisdiction,Country,Unemployment,,
Yerevan,Armenia,7,,
Aragatsotn,Armenia,2.3,,
Ararat,Armenia,3.8,,
Armavir,Armenia,4.3,,
Gegharkunik,Armenia,2.6,,
Lori,Armenia,7.99,,
Kotayk,Armenia,7.4,,
Shirak,Armenia,4.5,,
Syunik,Armenia,6.3,,
Vayots dzor,Armenia,6.5,,
Tavush,Armenia,8.7,,
Baku City,Azerbaijan,5.7,,
Absheron-Khizi,Azerbaijan,5.8,,
Guba-Khachmaz,Azerbaijan,6.7,,
Shaki-Zagatala,Azerbaijan,4.4,,
Central Aran Region,Azerbaijan,6.8,,
Ganja-Dashkasan,Azerbaijan,6.8,,
Gazakh-Tovuz,Azerbaijan,5,,
Eastern Zangazur,Azerbaijan,7.9,,
Karabakh,Azerbaijan,6.3,,
Nakhchivan Autonomous Republic,Azerbaijan,0.1,,
Mil-Mughan,Azerbaijan,5.7,,
Shirvan-Salyan,Azerbaijan,6.7,,
Lankaran-Astara,Azerbaijan,6.2,,
Nagorno Karabakh Shirvan ,Azerbaijan,4.6,,
Tbilisi,Georgia,19.50,,
Adjara Autonomous Republic,Georgia,18.4,,
Guria,Georgia,12.3,,
Imereti,Georgia,19.4,,
Kakheti,Georgia,9,,
Mtskheta-Mtianeti,Georgia,8.6,,
Racha-Lechkhumi and Kvemo Svaneti,Georgia,24.9,,
Samegrelo-Zemo Svaneti,Georgia,11,,
Samtskhe-Javakheti,Georgia,12.7,,
Kvemo Kartli,Georgia,22.9,,
Shida Kartli,Georgia,17,,
Abkhazia Autonomous Republic,Georgia,8,,
East Azarbayejan,Iran,13,,
West Azarbayejan,Iran,7,,
Ardebil,Iran,15.1,,
Dagestan,Russia ,14.5,,
Chechnya,Russia ,30.9,,
Ingushetia,Russia ,13.4,,
North Ossetia–Alania Republic,Russia ,12.7,,
Ardahan,Turkey,12.7,,
Kars,Turkey,12.7,,
Igdir,Turkey,12.7,,
Agri,Turkey,19.2,,
Van,Turkey,19.2,,
Bitlis,Turkey,19.2,,
Mus,Turkey,9.2,,
Erzurum,Turkey,9.2,,
Artvin,Turkey,19.2,,
